time,open,high,low,close,Volume
1757424720,649.305,649.36,649,649.26,37873
1757424780,649.25,649.34,649.12,649.24,24278
1757424840,649.23,649.31,649.12,649.17,30995
1757424900,649.18,649.28,649.06,649.21,21358
1757424960,649.2,649.34,649.11,649.22,14937
1757425020,649.225,649.45,649.16,649.39,17801
1757425080,649.38,649.49,649.29,649.38,16478
1757425140,649.37,649.45,649.17,649.19,23287
1757425200,649.18,649.27,649.06,649.08,28268
1757425260,649.08,649.12,648.89,649.08,23148
1757425320,649.09,649.21,649.04,649.07,12757
1757425380,649.08,649.12,648.91,649.11,14694
1757425440,649.11,649.28,649.1,649.28,14551
1757425500,649.27,649.29,648.93,649.01,20498
1757425560,649.035,649.1,648.9,648.95,18176
1757425620,648.97,649.26,648.94,649.25,15818
1757425680,649.27,649.29,648.95,648.97,13190
1757425740,648.965,649.17,648.965,649.08,17314
1757425800,649.08,649.14,648.9,648.93,20383
1757425860,648.92,649.03,648.78,648.869,21071
1757425920,648.87,649,648.86,648.91,14750
1757425980,648.91,649,648.83,648.85,25678
1757426040,648.855,648.87,648.63,648.66,35126
1757426100,648.66,648.7,648.53,648.64,27822
1757426160,648.62,649.07,648.61,649.04,47916
1757426220,649.01,649.17,648.95,649.08,18601
1757426280,649.07,649.13,648.97,648.99,14857
1757426340,648.975,649.04,648.8,649.01,13073
1757426400,649.02,649.5,648.62,648.62,71440
1757426460,648.59,648.99,648.59,648.73,32493
1757426520,648.68,648.88,648.58,648.775,18552
1757426580,648.81,648.82,648.43,648.499,29995
1757426640,648.51,648.86,648.48,648.75,25056
1757426700,648.77,649.01,648.74,648.89,30501
1757426760,648.88,648.92,648.63,648.76,14473
1757426820,648.77,648.88,648.68,648.87,18737
1757426880,648.86,649.02,648.829,648.9,21895
1757426940,648.925,649.21,648.84,649.2,29377
1757427000,649.17,649.57,649.13,649.46,44231
1757427060,649.44,649.645,649.4,649.64,19537
1757427120,649.65,649.72,649.419,649.57,27606
1757427180,649.57,649.58,649.32,649.36,13768
1757427240,649.4,649.41,649.3,649.38,12559
1757427300,649.38,649.45,649.1,649.2,22304
1757427360,649.2,649.25,648.97,649.02,16850
1757427420,649.03,649.11,648.88,648.96,16122
1757427480,648.97,649,648.75,648.88,19960
1757427540,648.87,649.03,648.855,648.92,11601
1757427600,648.94,648.98,648.82,648.93,16327
1757427660,648.91,649.05,648.86,648.96,17966
1757427720,648.94,649.03,648.8,648.84,8980
1757427780,648.85,649.06,648.79,649.04,12855
1757427840,649.035,649.035,648.86,648.91,8263
1757427900,648.91,648.99,648.78,648.84,15225
1757427960,648.84,648.85,648.56,648.57,16874
1757428020,648.56,648.74,648.53,648.71,18832
1757428080,648.68,648.82,648.56,648.715,17485
1757428140,648.72,648.89,648.66,648.75,18947
1757428200,648.75,648.8,648.63,648.64,13875
1757428260,648.66,648.74,648.45,648.5,14246
1757428320,648.52,648.53,648.04,648.04,73308
1757428380,648.06,648.22,647.99,647.99,28768
1757428440,647.98,648.04,647.6,647.62,37064
1757428500,647.63,647.85,647.44,647.58,55392
1757428560,647.61,647.76,647.31,647.31,45139
1757428620,647.33,647.65,647.26,647.499,21987
1757428680,647.49,647.76,647.429,647.62,26070
1757428740,647.64,647.72,647.49,647.66,18795
1757428800,647.65,647.79,647.62,647.729,25860
1757428860,647.74,647.79,647.525,647.67,33294
1757428920,647.65,647.69,647.44,647.53,21159
1757428980,647.54,647.56,647.22,647.37,25569
1757429040,647.38,647.715,647.35,647.69,21441
1757429100,647.69,648.12,647.6,648.1,32200
1757429160,648.11,648.11,647.76,647.81,14554
1757429220,647.85,647.91,647.79,647.81,8653
1757429280,647.83,648.075,647.83,647.92,17425
1757429340,647.9,648.02,647.84,647.97,18097
1757429400,647.96,647.96,647.67,647.75,16797
1757429460,647.75,647.89,647.72,647.83,6054
1757429520,647.83,648.215,647.8,648.18,15711
1757429580,648.17,648.34,648.16,648.32,19144
1757429640,648.35,648.43,648.3,648.43,34471
1757429700,648.41,648.64,648.41,648.5,32770
1757429760,648.51,648.56,648.25,648.31,22092
1757429820,648.31,648.4,648.21,648.3,9779
1757429880,648.32,648.41,648.27,648.4,7562
1757429940,648.39,648.4,648.3,648.35,4466
1757430000,648.32,648.65,648.3,648.39,84127
1757430060,648.39,648.48,648.17,648.25,17352
1757430120,648.27,648.41,648.2,648.2,14473
1757430180,648.21,648.27,648.12,648.16,8720
1757430240,648.21,648.22,648.13,648.18,6905
1757430300,648.16,648.21,648.08,648.16,15869
1757430360,648.13,648.16,647.9,647.92,14274
1757430420,647.96,648.04,647.79,647.88,16712
