datetime,high,low,close,Volume
2025-09-08 14:44:00,648.3,648.14,648.285,12436
2025-09-08 14:45:00,648.35,648.25,648.33,13477
2025-09-08 14:46:00,648.47,648.33,648.44,14002
2025-09-08 14:47:00,648.53,648.41,648.52,10762
2025-09-08 14:48:00,648.58,648.51,648.57,12769
2025-09-08 14:49:00,648.565,648.42,648.42,12340
2025-09-08 14:50:00,648.53,648.315,648.33,9279
2025-09-08 14:51:00,648.48,648.35,648.45,7475
2025-09-08 14:52:00,648.47,648.34,648.34,7604
2025-09-08 14:53:00,648.349,648.13,648.19,11769
2025-09-08 14:54:00,648.31,648.2,648.25,4368
2025-09-08 14:55:00,648.375,648.23,648.36,19035
2025-09-08 14:56:00,648.37,648.28,648.32,6017
2025-09-08 14:57:00,648.355,648.28,648.29,6917
2025-09-08 14:58:00,648.29,648.17,648.23,27520
2025-09-08 14:59:00,648.27,648.2,648.23,7828
2025-09-08 15:00:00,648.23,648.02,648.05,18219
2025-09-08 15:01:00,648.23,648.06,648.1,19663
2025-09-08 15:02:00,648.17,648.08,648.13,21330
2025-09-08 15:03:00,648.15,648.04,648.04,21148
2025-09-08 15:04:00,648.12,648.0,648.11,21280
2025-09-08 15:05:00,648.21,648.1,648.18,17774
2025-09-08 15:06:00,648.21,648.07,648.07,19943
2025-09-08 15:07:00,648.11,648.0,648.08,36613
2025-09-08 15:08:00,648.16,648.05,648.07,11716
2025-09-08 15:09:00,648.12,647.95,647.95,12661
2025-09-08 15:10:00,647.99,647.861,647.89,20875
2025-09-08 15:11:00,647.9,647.68,647.74,46191
2025-09-08 15:12:00,647.73,647.34,647.48,35353
2025-09-08 15:13:00,647.6,647.41,647.52,30147
2025-09-08 15:14:00,647.61,647.49,647.59,20359
2025-09-08 15:15:00,647.69,647.49,647.62,41036
2025-09-08 15:16:00,647.83,647.61,647.79,36710
2025-09-08 15:17:00,647.9,647.8,647.85,19459
2025-09-08 15:18:00,647.89,647.67,647.71,13008
2025-09-08 15:19:00,647.8,647.68,647.76,17658
2025-09-08 15:20:00,647.81,647.71,647.75,17458
2025-09-08 15:21:00,647.79,647.69,647.69,12442
2025-09-08 15:22:00,647.7,647.59,647.62,10797
2025-09-08 15:23:00,647.64,647.43,647.48,11764
2025-09-08 15:24:00,647.63,647.49,647.59,6901
2025-09-08 15:25:00,647.61,647.49,647.59,11996
2025-09-08 15:26:00,647.6,647.43,647.455,9595
2025-09-08 15:27:00,647.6,647.44,647.59,9557
2025-09-08 15:28:00,647.6,647.45,647.49,34500
2025-09-08 15:29:00,647.61,647.459,647.57,5579
2025-09-08 15:30:00,647.76,647.59,647.68,17419
2025-09-08 15:31:00,647.755,647.65,647.75,24810
